Level,Date,NoOfVacancies,SkillLevel,State,Title
2,01/12/2014,1431.7,5,SA,SA skill level 5
1,01/12/2014,16259.03,0,WA,WA TOTAL
2,01/12/2014,5046.23,1,WA,WA skill level 1
2,01/12/2014,1892.05,2,WA,WA skill level 2
2,01/12/2014,2352.86,3,WA,WA skill level 3
2,01/12/2014,4706.48,4,WA,WA skill level 4
2,01/12/2014,2248.66,5,WA,WA skill level 5
1,01/12/2014,1616.79,0,TAS,TAS TOTAL
2,01/12/2014,393.92,1,TAS,TAS skill level 1
2,01/12/2014,187.59,2,TAS,TAS skill level 2
2,01/12/2014,194.89,3,TAS,TAS skill level 3
2,01/12/2014,445.9,4,TAS,TAS skill level 4
2,01/12/2014,392.16,5,TAS,TAS skill level 5
1,01/12/2014,2290.38,0,NT,NT TOTAL
2,01/12/2014,701.36,1,NT,NT skill level 1
2,01/12/2014,278.01,2,NT,NT skill level 2
2,01/12/2014,377.14,3,NT,NT skill level 3
2,01/12/2014,673.54,4,NT,NT skill level 4
2,01/12/2014,280.08,5,NT,NT skill level 5
1,01/12/2014,3514.34,0,ACT,ACT TOTAL
2,01/12/2014,1867.15,1,ACT,ACT skill level 1
2,01/12/2014,377.17,2,ACT,ACT skill level 2
2,01/12/2014,278.47,3,ACT,ACT skill level 3
2,01/12/2014,692.99,4,ACT,ACT skill level 4
2,01/12/2014,314.95,5,ACT,ACT skill level 5
0,01/12/2015,165752.34,0,AUST,AUSTRALIAN TOTAL
2,01/12/2015,62329.87,1,AUST,Australia skill level 1
2,01/12/2015,17326.92,2,AUST,Australia skill level 2
2,01/12/2015,19484.11,3,AUST,Australia skill level 3
2,01/12/2015,44944.63,4,AUST,Australia skill level 4
2,01/12/2015,21155.5,5,AUST,Australia skill level 5
1,01/12/2015,63951.2,0,NSW,NSW TOTAL
2,01/12/2015,26313.99,1,NSW,NSW skill level 1
2,01/12/2015,6340.55,2,NSW,NSW skill level 2
2,01/12/2015,7030.33,3,NSW,NSW skill level 3
2,01/12/2015,17117.11,4,NSW,NSW skill level 4
2,01/12/2015,7359.96,5,NSW,NSW skill level 5
1,01/12/2015,42322.73,0,VIC,VIC TOTAL
2,01/12/2015,16113.17,1,VIC,VIC skill level 1
2,01/12/2015,4477.85,2,VIC,VIC skill level 2
2,01/12/2015,4508.79,3,VIC,VIC skill level 3
2,01/12/2015,11984.79,4,VIC,VIC skill level 4
2,01/12/2015,5272.04,5,VIC,VIC skill level 5
1,01/12/2015,29628.84,0,QLD,QLD TOTAL
2,01/12/2015,10286.86,1,QLD,QLD skill level 1
2,01/12/2015,3174.75,2,QLD,QLD skill level 2
2,01/12/2015,3654.69,3,QLD,QLD skill level 3
2,01/12/2015,8044.64,4,QLD,QLD skill level 4
2,01/12/2015,4439.98,5,QLD,QLD skill level 5
1,01/12/2015,6742.73,0,SA,SA TOTAL
2,01/12/2015,2032.7,1,SA,SA skill level 1
2,01/12/2015,710.29,2,SA,SA skill level 2
2,01/12/2015,882.45,3,SA,SA skill level 3
2,01/12/2015,1942.32,4,SA,SA skill level 4
2,01/12/2015,1202.93,5,SA,SA skill level 5
1,01/12/2015,14423.94,0,WA,WA TOTAL
2,01/12/2015,4621.58,1,WA,WA skill level 1
2,01/12/2015,1643.35,2,WA,WA skill level 2
2,01/12/2015,2348.37,3,WA,WA skill level 3
2,01/12/2015,3965.18,4,WA,WA skill level 4
2,01/12/2015,1802.74,5,WA,WA skill level 5
1,01/12/2015,1492.79,0,TAS,TAS TOTAL
2,01/12/2015,423.41,1,TAS,TAS skill level 1
2,01/12/2015,166.91,2,TAS,TAS skill level 2
2,01/12/2015,186.49,3,TAS,TAS skill level 3
2,01/12/2015,411.04,4,TAS,TAS skill level 4
2,01/12/2015,308.79,5,TAS,TAS skill level 5
1,01/12/2015,1991.39,0,NT,NT TOTAL
2,01/12/2015,669.5,1,NT,NT skill level 1
2,01/12/2015,262.39,2,NT,NT skill level 2
2,01/12/2015,302.94,3,NT,NT skill level 3
2,01/12/2015,487.38,4,NT,NT skill level 4
2,01/12/2015,264.88,5,NT,NT skill level 5
1,01/12/2015,4697.88,0,ACT,ACT TOTAL
2,01/12/2015,2297.11,1,ACT,ACT skill level 1
2,01/12/2015,553.25,2,ACT,ACT skill level 2
2,01/12/2015,462.2,3,ACT,ACT skill level 3
2,01/12/2015,938.77,4,ACT,ACT skill level 4
2,01/12/2015,475.87,5,ACT,ACT skill level 5
0,01/12/2016,166601.13,0,AUST,AUSTRALIAN TOTAL
2,01/12/2016,62019.73,1,AUST,Australia skill level 1
2,01/12/2016,17173.28,2,AUST,Australia skill level 2
2,01/12/2016,20316.36,3,AUST,Australia skill level 3
2,01/12/2016,45680.27,4,AUST,Australia skill level 4
2,01/12/2016,21058.34,5,AUST,Australia skill level 5
1,01/12/2016,64476.31,0,NSW,NSW TOTAL
2,01/12/2016,25589.94,1,NSW,NSW skill level 1
2,01/12/2016,6741.81,2,NSW,NSW skill level 2
2,01/12/2016,7186.31,3,NSW,NSW skill level 3
2,01/12/2016,17573.96,4,NSW,NSW skill level 4
2,01/12/2016,7569.06,5,NSW,NSW skill level 5
1,01/12/2016,43227.65,0,VIC,VIC TOTAL
2,01/12/2016,16906.17,1,VIC,VIC skill level 1
2,01/12/2016,4357.65,2,VIC,VIC skill level 2
2,01/12/2016,5104.04,3,VIC,VIC skill level 3
2,01/12/2016,11729.43,4,VIC,VIC skill level 4
2,01/12/2016,5179.35,5,VIC,VIC skill level 5
1,01/12/2016,29754.32,0,QLD,QLD TOTAL
2,01/12/2016,9703.74,1,QLD,QLD skill level 1
2,01/12/2016,3035.5,2,QLD,QLD skill level 2
2,01/12/2016,4071.75,3,QLD,QLD skill level 3
2,01/12/2016,8395.77,4,QLD,QLD skill level 4
2,01/12/2016,4604.62,5,QLD,QLD skill level 5
1,01/12/2016,7463.41,0,SA,SA TOTAL
2,01/12/2016,2256.17,1,SA,SA skill level 1
2,01/12/2016,766.66,2,SA,SA skill level 2
2,01/12/2016,938.24,3,SA,SA skill level 3
2,01/12/2016,2172.46,4,SA,SA skill level 4
2,01/12/2016,1353.49,5,SA,SA skill level 5
1,01/12/2016,13070.87,0,WA,WA TOTAL
2,01/12/2016,4297.87,1,WA,WA skill level 1
2,01/12/2016,1426.25,2,WA,WA skill level 2
2,01/12/2016,2138.56,3,WA,WA skill level 3
2,01/12/2016,3721.06,4,WA,WA skill level 4
2,01/12/2016,1451.12,5,WA,WA skill level 5
1,01/12/2016,1438.56,0,TAS,TAS TOTAL
2,01/12/2016,427.64,1,TAS,TAS skill level 1
2,01/12/2016,149.38,2,TAS,TAS skill level 2
2,01/12/2016,149.4,3,TAS,TAS skill level 3
2,01/12/2016,420.22,4,TAS,TAS skill level 4
2,01/12/2016,295.43,5,TAS,TAS skill level 5
1,01/12/2016,1706.68,0,NT,NT TOTAL
2,01/12/2016,580.21,1,NT,NT skill level 1
2,01/12/2016,175.7,2,NT,NT skill level 2
2,01/12/2016,251.16,3,NT,NT skill level 3
2,01/12/2016,526.78,4,NT,NT skill level 4
2,01/12/2016,166.24,5,NT,NT skill level 5
1,01/12/2016,5238.45,0,ACT,ACT TOTAL
2,01/12/2016,2634.68,1,ACT,ACT skill level 1
2,01/12/2016,562.3,2,ACT,ACT skill level 2
2,01/12/2016,417.91,3,ACT,ACT skill level 3
2,01/12/2016,1166.51,4,ACT,ACT skill level 4
2,01/12/2016,476.4,5,ACT,ACT skill level 5
0,01/02/2006,215898.12,0,AUST,AUSTRALIAN TOTAL
2,01/02/2006,65269.39,1,AUST,Australia skill level 1
2,01/02/2006,15634.56,2,AUST,Australia skill level 2
2,01/02/2006,25159.85,3,AUST,Australia skill level 3
2,01/02/2006,62629.46,4,AUST,Australia skill level 4
2,01/02/2006,46476.88,5,AUST,Australia skill level 5
1,01/02/2006,73995.25,0,NSW,NSW TOTAL
2,01/02/2006,26939.93,1,NSW,NSW skill level 1
2,01/02/2006,5342.56,2,NSW,NSW skill level 2
2,01/02/2006,7699.95,3,NSW,NSW skill level 3
2,01/02/2006,21230.22,4,NSW,NSW skill level 4
2,01/02/2006,12646.18,5,NSW,NSW skill level 5
1,01/02/2006,51034.37,0,VIC,VIC TOTAL
2,01/02/2006,15246.29,1,VIC,VIC skill level 1
2,01/02/2006,3375.14,2,VIC,VIC skill level 2
2,01/02/2006,5781.15,3,VIC,VIC skill level 3
2,01/02/2006,15104.07,4,VIC,VIC skill level 4
2,01/02/2006,11311.43,5,VIC,VIC skill level 5
1,01/02/2006,49468.81,0,QLD,QLD TOTAL
2,01/02/2006,12338.88,1,QLD,QLD skill level 1
2,01/02/2006,3812.34,2,QLD,QLD skill level 2
2,01/02/2006,6849.03,3,QLD,QLD skill level 3
2,01/02/2006,14317.85,4,QLD,QLD skill level 4
2,01/02/2006,11960.27,5,QLD,QLD skill level 5
1,01/02/2006,13159.46,0,SA,SA TOTAL
2,01/02/2006,2774.68,1,SA,SA skill level 1
2,01/02/2006,912.14,2,SA,SA skill level 2
2,01/02/2006,1723.76,3,SA,SA skill level 3
2,01/02/2006,3969.87,4,SA,SA skill level 4
2,01/02/2006,3758.88,5,SA,SA skill level 5
1,01/02/2006,18930.98,0,WA,WA TOTAL
2,01/02/2006,5245.44,1,WA,WA skill level 1
2,01/02/2006,1434.31,2,WA,WA skill level 2
2,01/02/2006,2109.51,3,WA,WA skill level 3
2,01/02/2006,5698.95,4,WA,WA skill level 4
2,01/02/2006,4312.39,5,WA,WA skill level 5
1,01/02/2006,2874.17,0,TAS,TAS TOTAL
2,01/02/2006,464.83,1,TAS,TAS skill level 1
2,01/02/2006,157.81,2,TAS,TAS skill level 2
2,01/02/2006,335.07,3,TAS,TAS skill level 3
2,01/02/2006,819.72,4,TAS,TAS skill level 4
2,01/02/2006,1063.64,5,TAS,TAS skill level 5
1,01/02/2006,2423.26,0,NT,NT TOTAL
2,01/02/2006,486.23,1,NT,NT skill level 1
2,01/02/2006,192.68,2,NT,NT skill level 2
2,01/02/2006,401.87,3,NT,NT skill level 3
2,01/02/2006,731.58,4,NT,NT skill level 4
2,01/02/2006,611.71,5,NT,NT skill level 5
1,01/02/2006,3335.42,0,ACT,ACT TOTAL
2,01/02/2006,1628.32,1,ACT,ACT skill level 1
2,01/02/2006,349.64,2,ACT,ACT skill level 2
2,01/02/2006,184.29,3,ACT,ACT skill level 3
2,01/02/2006,697.93,4,ACT,ACT skill level 4
2,01/02/2006,455.09,5,ACT,ACT skill level 5
0,01/02/2007,256086.35,0,AUST,AUSTRALIAN TOTAL
2,01/02/2007,84995.12,1,AUST,Australia skill level 1
2,01/02/2007,20345.76,2,AUST,Australia skill level 2
2,01/02/2007,27469.37,3,AUST,Australia skill level 3
2,01/02/2007,72536.04,4,AUST,Australia skill level 4
2,01/02/2007,50019.07,5,AUST,Australia skill level 5
1,01/02/2007,86014.01,0,NSW,NSW TOTAL
2,01/02/2007,34041.65,1,NSW,NSW skill level 1
2,01/02/2007,6485.39,2,NSW,NSW skill level 2
2,01/02/2007,8056.53,3,NSW,NSW skill level 3
2,01/02/2007,23779.93,4,NSW,NSW skill level 4
2,01/02/2007,13672,5,NSW,NSW skill level 5
1,01/02/2007,60057.64,0,VIC,VIC TOTAL
2,01/02/2007,19872.2,1,VIC,VIC skill level 1
2,01/02/2007,4619.37,2,VIC,VIC skill level 2
2,01/02/2007,6509.67,3,VIC,VIC skill level 3
2,01/02/2007,17056.48,4,VIC,VIC skill level 4
2,01/02/2007,11824.99,5,VIC,VIC skill level 5
1,01/02/2007,59023.73,0,QLD,QLD TOTAL
2,01/02/2007,16389.84,1,QLD,QLD skill level 1
2,01/02/2007,5129.91,2,QLD,QLD skill level 2
2,01/02/2007,7067.35,3,QLD,QLD skill level 3
2,01/02/2007,17179.01,4,QLD,QLD skill level 4
2,01/02/2007,12974.3,5,QLD,QLD skill level 5
1,01/02/2007,14686.38,0,SA,SA TOTAL
2,01/02/2007,3321.29,1,SA,SA skill level 1
2,01/02/2007,1108.84,2,SA,SA skill level 2
2,01/02/2007,1888.62,3,SA,SA skill level 3
2,01/02/2007,4299.06,4,SA,SA skill level 4
2,01/02/2007,4042.89,5,SA,SA skill level 5
1,01/02/2007,24579.4,0,WA,WA TOTAL
2,01/02/2007,7723.83,1,WA,WA skill level 1
2,01/02/2007,2055.75,2,WA,WA skill level 2
2,01/02/2007,2612.09,3,WA,WA skill level 3
2,01/02/2007,7392.16,4,WA,WA skill level 4
2,01/02/2007,4644.83,5,WA,WA skill level 5
1,01/02/2007,3154.77,0,TAS,TAS TOTAL
2,01/02/2007,589.22,1,TAS,TAS skill level 1
2,01/02/2007,187.67,2,TAS,TAS skill level 2
2,01/02/2007,378.28,3,TAS,TAS skill level 3
2,01/02/2007,879.03,4,TAS,TAS skill level 4
2,01/02/2007,1094.75,5,TAS,TAS skill level 5
1,01/02/2007,3192.89,0,NT,NT TOTAL
2,01/02/2007,756.22,1,NT,NT skill level 1
2,01/02/2007,257.96,2,NT,NT skill level 2
2,01/02/2007,484.19,3,NT,NT skill level 3
2,01/02/2007,905.81,4,NT,NT skill level 4
2,01/02/2007,776.37,5,NT,NT skill level 5
1,01/02/2007,4385.55,0,ACT,ACT TOTAL
2,01/02/2007,2072.09,1,ACT,ACT skill level 1
2,01/02/2007,427.31,2,ACT,ACT skill level 2
2,01/02/2007,327.01,3,ACT,ACT skill level 3
2,01/02/2007,944.11,4,ACT,ACT skill level 4
2,01/02/2007,568.11,5,ACT,ACT skill level 5
0,01/02/2008,306381.38,0,AUST,AUSTRALIAN TOTAL
2,01/02/2008,107211.17,1,AUST,Australia skill level 1
2,01/02/2008,27338.02,2,AUST,Australia skill level 2
2,01/02/2008,32314.14,3,AUST,Australia skill level 3
2,01/02/2008,85224.03,4,AUST,Australia skill level 4
2,01/02/2008,53563.75,5,AUST,Australia skill level 5
1,01/02/2008,100505.42,0,NSW,NSW TOTAL
2,01/02/2008,41244.5,1,NSW,NSW skill level 1
2,01/02/2008,8094.71,2,NSW,NSW skill level 2
2,01/02/2008,9282.26,3,NSW,NSW skill level 3
2,01/02/2008,27305.49,4,NSW,NSW skill level 4
2,01/02/2008,14748.85,5,NSW,NSW skill level 5
1,01/02/2008,70900.4,0,VIC,VIC TOTAL
2,01/02/2008,24264.38,1,VIC,VIC skill level 1
2,01/02/2008,6044.61,2,VIC,VIC skill level 2
2,01/02/2008,7407.17,3,VIC,VIC skill level 3
2,01/02/2008,20276.54,4,VIC,VIC skill level 4
2,01/02/2008,12720.6,5,VIC,VIC skill level 5
1,01/02/2008,74188.48,0,QLD,QLD TOTAL
2,01/02/2008,22479.33,1,QLD,QLD skill level 1
2,01/02/2008,7732.92,2,QLD,QLD skill level 2
2,01/02/2008,9004.05,3,QLD,QLD skill level 3
2,01/02/2008,20549.71,4,QLD,QLD skill level 4
2,01/02/2008,14088.91,5,QLD,QLD skill level 5
1,01/02/2008,16907.05,0,SA,SA TOTAL
2,01/02/2008,4524.08,1,SA,SA skill level 1
2,01/02/2008,1356.23,2,SA,SA skill level 2
2,01/02/2008,2055.75,3,SA,SA skill level 3
2,01/02/2008,4984.75,4,SA,SA skill level 4
2,01/02/2008,3982.07,5,SA,SA skill level 5
1,01/02/2008,30989.34,0,WA,WA TOTAL
2,01/02/2008,10798.35,1,WA,WA skill level 1
2,01/02/2008,2948.83,2,WA,WA skill level 2
2,01/02/2008,3180.64,3,WA,WA skill level 3
2,01/02/2008,8847.59,4,WA,WA skill level 4
2,01/02/2008,5064.15,5,WA,WA skill level 5
1,01/02/2008,3292.89,0,TAS,TAS TOTAL
2,01/02/2008,717.99,1,TAS,TAS skill level 1
2,01/02/2008,260.89,2,TAS,TAS skill level 2
2,01/02/2008,370.14,3,TAS,TAS skill level 3
2,01/02/2008,912.39,4,TAS,TAS skill level 4
2,01/02/2008,1025.73,5,TAS,TAS skill level 5
1,01/02/2008,3804,0,NT,NT TOTAL
2,01/02/2008,790.48,1,NT,NT skill level 1
2,01/02/2008,335.65,2,NT,NT skill level 2
2,01/02/2008,511.38,3,NT,NT skill level 3
2,01/02/2008,1209.81,4,NT,NT skill level 4
2,01/02/2008,939.92,5,NT,NT skill level 5
1,01/02/2008,4407.24,0,ACT,ACT TOTAL
2,01/02/2008,2053.77,1,ACT,ACT skill level 1
2,01/02/2008,467.09,2,ACT,ACT skill level 2
2,01/02/2008,286.53,3,ACT,ACT skill level 3
2,01/02/2008,933.98,4,ACT,ACT skill level 4
2,01/02/2008,622.84,5,ACT,ACT skill level 5
0,01/02/2009,181805.76,0,AUST,AUSTRALIAN TOTAL
2,01/02/2009,67436.6,1,AUST,Australia skill level 1
2,01/02/2009,16114.86,2,AUST,Australia skill level 2
2,01/02/2009,19129.03,3,AUST,Australia skill level 3
2,01/02/2009,46312.84,4,AUST,Australia skill level 4
2,01/02/2009,32239.42,5,AUST,Australia skill level 5
1,01/02/2009,57527.24,0,NSW,NSW TOTAL
2,01/02/2009,23360.33,1,NSW,NSW skill level 1
2,01/02/2009,4652.14,2,NSW,NSW skill level 2
2,01/02/2009,5768.67,3,NSW,NSW skill level 3
2,01/02/2009,14641.37,4,NSW,NSW skill level 4
2,01/02/2009,9200.55,5,NSW,NSW skill level 5
1,01/02/2009,42451.34,0,VIC,VIC TOTAL
2,01/02/2009,15897.33,1,VIC,VIC skill level 1
2,01/02/2009,3648.42,2,VIC,VIC skill level 2
2,01/02/2009,4293.65,3,VIC,VIC skill level 3
2,01/02/2009,10778.44,4,VIC,VIC skill level 4
2,01/02/2009,7674.29,5,VIC,VIC skill level 5
1,01/02/2009,41402.44,0,QLD,QLD TOTAL
2,01/02/2009,14037.23,1,QLD,QLD skill level 1
2,01/02/2009,4072.49,2,QLD,QLD skill level 2
2,01/02/2009,4585.95,3,QLD,QLD skill level 3
2,01/02/2009,10642.35,4,QLD,QLD skill level 4
2,01/02/2009,7944.47,5,QLD,QLD skill level 5
1,01/02/2009,11113.05,0,SA,SA TOTAL
2,01/02/2009,3021.39,1,SA,SA skill level 1
2,01/02/2009,858.45,2,SA,SA skill level 2
2,01/02/2009,1328.04,3,SA,SA skill level 3
2,01/02/2009,3124.49,4,SA,SA skill level 4
2,01/02/2009,2765.61,5,SA,SA skill level 5
1,01/02/2009,18530.95,0,WA,WA TOTAL
2,01/02/2009,7178.47,1,WA,WA skill level 1
2,01/02/2009,1823.35,2,WA,WA skill level 2
2,01/02/2009,2078.74,3,WA,WA skill level 3
2,01/02/2009,4555.01,4,WA,WA skill level 4
2,01/02/2009,2798.01,5,WA,WA skill level 5
1,01/02/2009,2283.27,0,TAS,TAS TOTAL
2,01/02/2009,522.24,1,TAS,TAS skill level 1
2,01/02/2009,176.24,2,TAS,TAS skill level 2
2,01/02/2009,205.47,3,TAS,TAS skill level 3
2,01/02/2009,633.06,4,TAS,TAS skill level 4
2,01/02/2009,747.73,5,TAS,TAS skill level 5
1,01/02/2009,2956.66,0,NT,NT TOTAL
2,01/02/2009,897.1,1,NT,NT skill level 1
2,01/02/2009,338.13,2,NT,NT skill level 2
2,01/02/2009,343.58,3,NT,NT skill level 3
2,01/02/2009,869.05,4,NT,NT skill level 4
2,01/02/2009,474.17,5,NT,NT skill level 5
1,01/02/2009,4659.55,0,ACT,ACT TOTAL
2,01/02/2009,2347.91,1,ACT,ACT skill level 1
2,01/02/2009,534.86,2,ACT,ACT skill level 2
2,01/02/2009,353.24,3,ACT,ACT skill level 3
2,01/02/2009,922.54,4,ACT,ACT skill level 4
2,01/02/2009,448.1,5,ACT,ACT skill level 5
0,01/02/2010,188542.5,0,AUST,AUSTRALIAN TOTAL
2,01/02/2010,64294.47,1,AUST,Australia skill level 1
2,01/02/2010,16828.04,2,AUST,Australia skill level 2
2,01/02/2010,22711.61,3,AUST,Australia skill level 3
2,01/02/2010,50702.15,4,AUST,Australia skill level 4
2,01/02/2010,33272.03,5,AUST,Australia skill level 5
1,01/02/2010,59923.54,0,NSW,NSW TOTAL
2,01/02/2010,23483.26,1,NSW,NSW skill level 1
2,01/02/2010,5056.42,2,NSW,NSW skill level 2
2,01/02/2010,6557.04,3,NSW,NSW skill level 3
2,01/02/2010,15347.18,4,NSW,NSW skill level 4
2,01/02/2010,9538.53,5,NSW,NSW skill level 5
1,01/02/2010,45308.22,0,VIC,VIC TOTAL
2,01/02/2010,15138.27,1,VIC,VIC skill level 1
2,01/02/2010,3985.82,2,VIC,VIC skill level 2
2,01/02/2010,5245.25,3,VIC,VIC skill level 3
2,01/02/2010,12496.39,4,VIC,VIC skill level 4
2,01/02/2010,8170.72,5,VIC,VIC skill level 5
1,01/02/2010,38930.97,0,QLD,QLD TOTAL
2,01/02/2010,11873.69,1,QLD,QLD skill level 1
2,01/02/2010,3683.31,2,QLD,QLD skill level 2
2,01/02/2010,5266.8,3,QLD,QLD skill level 3
2,01/02/2010,10771.82,4,QLD,QLD skill level 4
2,01/02/2010,7285.81,5,QLD,QLD skill level 5
1,01/02/2010,12410.67,0,SA,SA TOTAL
2,01/02/2010,2833.33,1,SA,SA skill level 1
2,01/02/2010,1099.84,2,SA,SA skill level 2
2,01/02/2010,1820.12,3,SA,SA skill level 3
2,01/02/2010,3525.85,4,SA,SA skill level 4
2,01/02/2010,3100.04,5,SA,SA skill level 5
1,01/02/2010,20335.35,0,WA,WA TOTAL
2,01/02/2010,6849.99,1,WA,WA skill level 1
2,01/02/2010,1953.54,2,WA,WA skill level 2
2,01/02/2010,2438.49,3,WA,WA skill level 3
2,01/02/2010,5620.44,4,WA,WA skill level 4
2,01/02/2010,3369.92,5,WA,WA skill level 5
1,01/02/2010,2292.24,0,TAS,TAS TOTAL
2,01/02/2010,598.7,1,TAS,TAS skill level 1
2,01/02/2010,179.56,2,TAS,TAS skill level 2
2,01/02/2010,293.76,3,TAS,TAS skill level 3
2,01/02/2010,679.77,4,TAS,TAS skill level 4
2,01/02/2010,549.62,5,TAS,TAS skill level 5
1,01/02/2010,3736.32,0,NT,NT TOTAL
2,01/02/2010,1034.43,1,NT,NT skill level 1
2,01/02/2010,357.48,2,NT,NT skill level 2
2,01/02/2010,522.55,3,NT,NT skill level 3
2,01/02/2010,1138.84,4,NT,NT skill level 4
2,01/02/2010,614.67,5,NT,NT skill level 5
1,01/02/2010,4692.71,0,ACT,ACT TOTAL
2,01/02/2010,2314.21,1,ACT,ACT skill level 1
2,01/02/2010,495.84,2,ACT,ACT skill level 2
2,01/02/2010,368.68,3,ACT,ACT skill level 3
2,01/02/2010,952.44,4,ACT,ACT skill level 4
2,01/02/2010,509.03,5,ACT,ACT skill level 5
0,01/02/2011,213451.09,0,AUST,AUSTRALIAN TOTAL
2,01/02/2011,78955.52,1,AUST,Australia skill level 1
2,01/02/2011,19293.56,2,AUST,Australia skill level 2
2,01/02/2011,25347.56,3,AUST,Australia skill level 3
2,01/02/2011,57677.96,4,AUST,Australia skill level 4
2,01/02/2011,31659.08,5,AUST,Australia skill level 5
1,01/02/2011,68842.91,0,NSW,NSW TOTAL
2,01/02/2011,28218.04,1,NSW,NSW skill level 1
2,01/02/2011,5786.31,2,NSW,NSW skill level 2
2,01/02/2011,7428.01,3,NSW,NSW skill level 3
2,01/02/2011,18238.36,4,NSW,NSW skill level 4
2,01/02/2011,9260.23,5,NSW,NSW skill level 5
1,01/02/2011,50951.79,0,VIC,VIC TOTAL
2,01/02/2011,18408.39,1,VIC,VIC skill level 1
2,01/02/2011,4900.01,2,VIC,VIC skill level 2
2,01/02/2011,5854.24,3,VIC,VIC skill level 3
2,01/02/2011,14145.12,4,VIC,VIC skill level 4
2,01/02/2011,7506.89,5,VIC,VIC skill level 5
1,01/02/2011,43567.8,0,QLD,QLD TOTAL
2,01/02/2011,14596.35,1,QLD,QLD skill level 1
2,01/02/2011,3879.75,2,QLD,QLD skill level 2
2,01/02/2011,5802.22,3,QLD,QLD skill level 3
2,01/02/2011,11886.2,4,QLD,QLD skill level 4
2,01/02/2011,7402.99,5,QLD,QLD skill level 5
1,01/02/2011,11701.47,0,SA,SA TOTAL
2,01/02/2011,3205.64,1,SA,SA skill level 1
2,01/02/2011,1060.52,2,SA,SA skill level 2
2,01/02/2011,1612.24,3,SA,SA skill level 3
2,01/02/2011,3389.49,4,SA,SA skill level 4
2,01/02/2011,2415.61,5,SA,SA skill level 5
1,01/02/2011,26268.16,0,WA,WA TOTAL
2,01/02/2011,10009.81,1,WA,WA skill level 1
2,01/02/2011,2460.05,2,WA,WA skill level 2
2,01/02/2011,3330.35,3,WA,WA skill level 3
2,01/02/2011,6890.8,4,WA,WA skill level 4
2,01/02/2011,3512.91,5,WA,WA skill level 5
1,01/02/2011,2074.8,0,TAS,TAS TOTAL
2,01/02/2011,554,1,TAS,TAS skill level 1
2,01/02/2011,177.79,2,TAS,TAS skill level 2
2,01/02/2011,275.1,3,TAS,TAS skill level 3
2,01/02/2011,587.56,4,TAS,TAS skill level 4
2,01/02/2011,490.47,5,TAS,TAS skill level 5
1,01/02/2011,3121.59,0,NT,NT TOTAL
2,01/02/2011,748.66,1,NT,NT skill level 1
2,01/02/2011,350.03,2,NT,NT skill level 2
2,01/02/2011,459.23,3,NT,NT skill level 3
2,01/02/2011,949.67,4,NT,NT skill level 4
2,01/02/2011,548.02,5,NT,NT skill level 5
1,01/02/2011,6081.69,0,ACT,ACT TOTAL
2,01/02/2011,3045.7,1,ACT,ACT skill level 1
2,01/02/2011,669.11,2,ACT,ACT skill level 2
2,01/02/2011,402.89,3,ACT,ACT skill level 3
2,01/02/2011,1384.26,4,ACT,ACT skill level 4
2,01/02/2011,525.93,5,ACT,ACT skill level 5
0,01/02/2012,193099.78,0,AUST,AUSTRALIAN TOTAL
2,01/02/2012,70610,1,AUST,Australia skill level 1
2,01/02/2012,17863.61,2,AUST,Australia skill level 2
2,01/02/2012,23324.36,3,AUST,Australia skill level 3
2,01/02/2012,52417.67,4,AUST,Australia skill level 4
2,01/02/2012,28673.1,5,AUST,Australia skill level 5
1,01/02/2012,57060.65,0,NSW,NSW TOTAL
2,01/02/2012,22846.24,1,NSW,NSW skill level 1
2,01/02/2012,4965.06,2,NSW,NSW skill level 2
2,01/02/2012,6030.31,3,NSW,NSW skill level 3
2,01/02/2012,15447.09,4,NSW,NSW skill level 4
2,01/02/2012,7799.44,5,NSW,NSW skill level 5
1,01/02/2012,42755.3,0,VIC,VIC TOTAL
2,01/02/2012,15003.88,1,VIC,VIC skill level 1
2,01/02/2012,4003.71,2,VIC,VIC skill level 2
2,01/02/2012,4951.81,3,VIC,VIC skill level 3
2,01/02/2012,12067.59,4,VIC,VIC skill level 4
2,01/02/2012,6664.93,5,VIC,VIC skill level 5
1,01/02/2012,43946.33,0,QLD,QLD TOTAL
2,01/02/2012,15043.88,1,QLD,QLD skill level 1
2,01/02/2012,4177.7,2,QLD,QLD skill level 2
2,01/02/2012,6002.33,3,QLD,QLD skill level 3
2,01/02/2012,11725.57,4,QLD,QLD skill level 4
2,01/02/2012,6998.55,5,QLD,QLD skill level 5
1,01/02/2012,10123.53,0,SA,SA TOTAL
2,01/02/2012,2805.97,1,SA,SA skill level 1
2,01/02/2012,863.02,2,SA,SA skill level 2
2,01/02/2012,1368.16,3,SA,SA skill level 3
2,01/02/2012,2918.46,4,SA,SA skill level 4
2,01/02/2012,2136.62,5,SA,SA skill level 5
1,01/02/2012,28713.41,0,WA,WA TOTAL
2,01/02/2012,11047.55,1,WA,WA skill level 1
2,01/02/2012,2844.96,2,WA,WA skill level 2
2,01/02/2012,3748.25,3,WA,WA skill level 3
2,01/02/2012,7512.83,4,WA,WA skill level 4
2,01/02/2012,3614.4,5,WA,WA skill level 5
1,01/02/2012,1615.4,0,TAS,TAS TOTAL
2,01/02/2012,402.13,1,TAS,TAS skill level 1
2,01/02/2012,156,2,TAS,TAS skill level 2
